symbol,name,isin,exchange,series,sector,industry,tags
IOB,Indian Overseas Bank,INE565A01014,NSE,EQ,,Public Sector Bank,nifty500|niftysmallcap250|midcap
IOC,Indian Oil Corporation Limited,INE242A01010,NSE,EQ,,Refineries & Marketing,nifty100|nifty500|largecap
IONEXCHANG,ION Exchange (India) Limited,INE570A01022,NSE,EQ,,Water Supply & Management,niftymicrocap250|smallcap
IPCALAB,IPCA Laboratories Limited,INE571A01038,NSE,EQ,,Pharmaceuticals,nifty500|niftymidcap150|midcap
IRB,IRB Infrastructure Developers Limited,INE821I01022,NSE,EQ,,Civil Construction,nifty500|niftysmallcap250|midcap
IRCON,Ircon International Limited,INE962Y01021,NSE,EQ,,Civil Construction,nifty500|niftysmallcap250|midcap
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NSE,EQ,,Tour Travel Related Services,nifty500|niftymidcap150|midcap
IREDA,Indian Renewable Energy Development Agency Limited,INE202E01016,NSE,EQ,,Financial Institution,nifty500|niftymidcap150|midcap
IRFC,Indian Railway Finance Corporation Limited,INE053F01010,NSE,EQ,,Financial Institution,nifty100|nifty500|largecap
ITC,ITC Limited,INE154A01025,NSE,EQ,,Diversified FMCG,nifty50|nifty100|nifty500|largecap
ITCHOTELS,ITC Hotels Limited,INE379A01028,NSE,EQ,,Hotels & Resorts,nifty500|niftymidcap150|midcap
ITI,ITI Limited,INE248A01017,NSE,EQ,,Telecom - Equipment & Accessories,nifty500|niftysmallcap250|midcap
IXIGO,Le Travenues Technology Limited,INE0HV901016,NSE,EQ,,Tour Travel Related Services,niftymicrocap250|smallcap
J&KBANK,The Jammu & Kashmir Bank Limited,INE168A01041,NSE,EQ,,Private Sector Bank,nifty500|niftysmallcap250|midcap
JAIBALAJI,Jai Balaji Industries Limited,INE091G01026,NSE,EQ,,Iron & Steel,niftymicrocap250|smallcap
JAINREC,Jain Resource Recycling Limited,INE0YD401026,NSE,EQ,,Diversified Metals,nifty500|niftysmallcap250|midcap
JAMNAAUTO,Jamna Auto Industries Limited,INE039C01032,NSE,EQ,,Auto Components & Equipments,niftymicrocap250|smallcap
JAYNECOIND,Jayaswal Neco Industries Limited,INE854B01010,NSE,EQ,,Iron & Steel Products,niftymicrocap250|smallcap
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,INE572A01036,NSE,EQ,,Pharmaceuticals,nifty500|niftysmallcap250|midcap
JBMA,JBM Auto Limited,INE927D01051,NSE,EQ,,Auto Components & Equipments,nifty500|niftysmallcap250|midcap
JINDALSAW,Jindal Saw Limited,INE324A01032,NSE,EQ,,Iron & Steel Products,nifty500|niftysmallcap250|midcap
JINDALSTEL,JINDAL STEEL LIMITED,INE749A01030,NSE,EQ,,Iron & Steel,nifty100|nifty500|largecap
JIOFIN,Jio Financial Services Limited,INE758E01017,NSE,EQ,,Investment Company,nifty50|nifty100|nifty500|largecap
JKCEMENT,JK Cement Limited,INE823G01014,NSE,EQ,,Cement & Cement Products,nifty500|niftymidcap150|midcap
